Date of analysis,Country,Total country population,Level 1,Validity period,From,To,Phase,Number,Percentage
Mar 2023,YEM,32627231,Al Hodeidah,current,2023-01-01,2023-05-31,all,119434,1.0
Mar 2023,YEM,32627231,Al Hodeidah,current,2023-01-01,2023-05-31,3+,42500,0.36
Mar 2023,YEM,32627231,Al Hodeidah,current,2023-01-01,2023-05-31,1,47000,0.39
Mar 2023,YEM,32627231,Al Hodeidah,current,2023-01-01,2023-05-31,2,30500,0.26
Mar 2023,YEM,32627231,Al Hodeidah,current,2023-01-01,2023-05-31,3,30500,0.26
Mar 2023,YEM,32627231,Al Hodeidah,current,2023-01-01,2023-05-31,4,12000,0.1
Mar 2023,YEM,32627231,Al Hodeidah,current,2023-01-01,2023-05-31,5,0,0
Mar 2023,YEM,32627231,Al Hodeidah,first projection,2023-06-01,2023-12-31,all,119434,1.0
Mar 2023,YEM,32627231,Al Hodeidah,first projection,2023-06-01,2023-12-31,3+,54500,0.45
Mar 2023,YEM,32627231,Al Hodeidah,first projection,2023-06-01,2023-12-31,1,23500,0.2
Mar 2023,YEM,32627231,Al Hodeidah,first projection,2023-06-01,2023-12-31,2,41500,0.35
Mar 2023,YEM,32627231,Al Hodeidah,first projection,2023-06-01,2023-12-31,3,36000,0.3
Mar 2023,YEM,32627231,Al Hodeidah,first projection,2023-06-01,2023-12-31,4,18000,0.15
Mar 2023,YEM,32627231,Al Hodeidah,first projection,2023-06-01,2023-12-31,5,0,0
Mar 2023,YEM,32627231,Sa'dah,current,2023-01-01,2023-05-31,all,32627231,1.0
Mar 2023,YEM,32627231,Sa'dah,current,2023-01-01,2023-05-31,3+,0,0
Mar 2023,YEM,32627231,Sa'dah,current,2023-01-01,2023-05-31,1,0,0
Mar 2023,YEM,32627231,Sa'dah,current,2023-01-01,2023-05-31,2,0,0
Mar 2023,YEM,32627231,Sa'dah,current,2023-01-01,2023-05-31,3,0,0
Mar 2023,YEM,32627231,Sa'dah,current,2023-01-01,2023-05-31,4,0,0
Mar 2023,YEM,32627231,Sa'dah,current,2023-01-01,2023-05-31,5,0,0
Mar 2023,YEM,32627231,Sa'dah,first projection,2023-06-01,2023-12-31,3+,0,0
Mar 2023,YEM,32627231,Sa'dah,first projection,2023-06-01,2023-12-31,1,0,0
Mar 2023,YEM,32627231,Sa'dah,first projection,2023-06-01,2023-12-31,2,0,0
Mar 2023,YEM,32627231,Sa'dah,first projection,2023-06-01,2023-12-31,3,0,0
Mar 2023,YEM,32627231,Sa'dah,first projection,2023-06-01,2023-12-31,4,0,0
Mar 2023,YEM,32627231,Sa'dah,first projection,2023-06-01,2023-12-31,5,0,0
Mar 2023,YEM,32627231,Ibb,current,2023-01-01,2023-05-31,all,32627231,1.0
Mar 2023,YEM,32627231,Ibb,current,2023-01-01,2023-05-31,3+,0,0
Mar 2023,YEM,32627231,Ibb,current,2023-01-01,2023-05-31,1,0,0
Mar 2023,YEM,32627231,Ibb,current,2023-01-01,2023-05-31,2,0,0
Mar 2023,YEM,32627231,Ibb,current,2023-01-01,2023-05-31,3,0,0
Mar 2023,YEM,32627231,Ibb,current,2023-01-01,2023-05-31,4,0,0
Mar 2023,YEM,32627231,Ibb,current,2023-01-01,2023-05-31,5,0,0
Mar 2023,YEM,32627231,Ibb,first projection,2023-06-01,2023-12-31,3+,0,0
Mar 2023,YEM,32627231,Ibb,first projection,2023-06-01,2023-12-31,1,0,0
Mar 2023,YEM,32627231,Ibb,first projection,2023-06-01,2023-12-31,2,0,0
Mar 2023,YEM,32627231,Ibb,first projection,2023-06-01,2023-12-31,3,0,0
Mar 2023,YEM,32627231,Ibb,first projection,2023-06-01,2023-12-31,4,0,0
Mar 2023,YEM,32627231,Ibb,first projection,2023-06-01,2023-12-31,5,0,0
Mar 2023,YEM,32627231,Abyan,current,2023-01-01,2023-05-31,all,664734,1.0
Mar 2023,YEM,32627231,Abyan,current,2023-01-01,2023-05-31,3+,240000,0.36
Mar 2023,YEM,32627231,Abyan,current,2023-01-01,2023-05-31,1,208500,0.31
Mar 2023,YEM,32627231,Abyan,current,2023-01-01,2023-05-31,2,215500,0.32
Mar 2023,YEM,32627231,Abyan,current,2023-01-01,2023-05-31,3,188500,0.28
Mar 2023,YEM,32627231,Abyan,current,2023-01-01,2023-05-31,4,51500,0.08
Mar 2023,YEM,32627231,Abyan,current,2023-01-01,2023-05-31,5,0,0
Mar 2023,YEM,32627231,Abyan,first projection,2023-06-01,2023-12-31,all,664734,1.0
Mar 2023,YEM,32627231,Abyan,first projection,2023-06-01,2023-12-31,3+,283000,0.43
Mar 2023,YEM,32627231,Abyan,first projection,2023-06-01,2023-12-31,1,197000,0.3
Mar 2023,YEM,32627231,Abyan,first projection,2023-06-01,2023-12-31,2,184000,0.28
Mar 2023,YEM,32627231,Abyan,first projection,2023-06-01,2023-12-31,3,198000,0.3
Mar 2023,YEM,32627231,Abyan,first projection,2023-06-01,2023-12-31,4,85000,0.13
Mar 2023,YEM,32627231,Abyan,first projection,2023-06-01,2023-12-31,5,0,0
Mar 2023,YEM,32627231,Ma`rib,current,2023-01-01,2023-05-31,all,1388539,1.0
Mar 2023,YEM,32627231,Ma`rib,current,2023-01-01,2023-05-31,3+,685500,0.49
Mar 2023,YEM,32627231,Ma`rib,current,2023-01-01,2023-05-31,1,285500,0.21
Mar 2023,YEM,32627231,Ma`rib,current,2023-01-01,2023-05-31,2,417500,0.3
Mar 2023,YEM,32627231,Ma`rib,current,2023-01-01,2023-05-31,3,422500,0.3
Mar 2023,YEM,32627231,Ma`rib,current,2023-01-01,2023-05-31,4,263000,0.19
Mar 2023,YEM,32627231,Ma`rib,current,2023-01-01,2023-05-31,5,0,0
Mar 2023,YEM,32627231,Ma`rib,first projection,2023-06-01,2023-12-31,all,1388539,1.0
Mar 2023,YEM,32627231,Ma`rib,first projection,2023-06-01,2023-12-31,3+,754500,0.55
Mar 2023,YEM,32627231,Ma`rib,first projection,2023-06-01,2023-12-31,1,285000,0.21
Mar 2023,YEM,32627231,Ma`rib,first projection,2023-06-01,2023-12-31,2,347500,0.25
Mar 2023,YEM,32627231,Ma`rib,first projection,2023-06-01,2023-12-31,3,479500,0.35
Mar 2023,YEM,32627231,Ma`rib,first projection,2023-06-01,2023-12-31,4,275000,0.2
Mar 2023,YEM,32627231,Ma`rib,first projection,2023-06-01,2023-12-31,5,0,0
Mar 2023,YEM,32627231,Al Bayda,current,2023-01-01,2023-05-31,all,32627231,1.0
Mar 2023,YEM,32627231,Al Bayda,current,2023-01-01,2023-05-31,3+,0,0
Mar 2023,YEM,32627231,Al Bayda,current,2023-01-01,2023-05-31,1,0,0
Mar 2023,YEM,32627231,Al Bayda,current,2023-01-01,2023-05-31,2,0,0
Mar 2023,YEM,32627231,Al Bayda,current,2023-01-01,2023-05-31,3,0,0
Mar 2023,YEM,32627231,Al Bayda,current,2023-01-01,2023-05-31,4,0,0
Mar 2023,YEM,32627231,Al Bayda,current,2023-01-01,2023-05-31,5,0,0
Mar 2023,YEM,32627231,Al Bayda,first projection,2023-06-01,2023-12-31,3+,0,0
Mar 2023,YEM,32627231,Al Bayda,first projection,2023-06-01,2023-12-31,1,0,0
Mar 2023,YEM,32627231,Al Bayda,first projection,2023-06-01,2023-12-31,2,0,0
Mar 2023,YEM,32627231,Al Bayda,first projection,2023-06-01,2023-12-31,3,0,0
Mar 2023,YEM,32627231,Al Bayda,first projection,2023-06-01,2023-12-31,4,0,0
Mar 2023,YEM,32627231,Al Bayda,first projection,2023-06-01,2023-12-31,5,0,0
Mar 2023,YEM,32627231,Amran,current,2023-01-01,2023-05-31,all,32627231,1.0
Mar 2023,YEM,32627231,Amran,current,2023-01-01,2023-05-31,3+,0,0
Mar 2023,YEM,32627231,Amran,current,2023-01-01,2023-05-31,1,0,0
Mar 2023,YEM,32627231,Amran,current,2023-01-01,2023-05-31,2,0,0
Mar 2023,YEM,32627231,Amran,current,2023-01-01,2023-05-31,3,0,0
Mar 2023,YEM,32627231,Amran,current,2023-01-01,2023-05-31,4,0,0
Mar 2023,YEM,32627231,Amran,current,2023-01-01,2023-05-31,5,0,0
Mar 2023,YEM,32627231,Amran,first projection,2023-06-01,2023-12-31,3+,0,0
Mar 2023,YEM,32627231,Amran,first projection,2023-06-01,2023-12-31,1,0,0
Mar 2023,YEM,32627231,Amran,first projection,2023-06-01,2023-12-31,2,0,0
Mar 2023,YEM,32627231,Amran,first projection,2023-06-01,2023-12-31,3,0,0
Mar 2023,YEM,32627231,Amran,first projection,2023-06-01,2023-12-31,4,0,0
Mar 2023,YEM,32627231,Amran,first projection,2023-06-01,2023-12-31,5,0,0
Mar 2023,YEM,32627231,Aden,current,2023-01-01,2023-05-31,all,1152643,1.0
Mar 2023,YEM,32627231,Aden,current,2023-01-01,2023-05-31,3+,306000,0.27
Mar 2023,YEM,32627231,Aden,current,2023-01-01,2023-05-31,1,345500,0.3
Mar 2023,YEM,32627231,Aden,current,2023-01-01,2023-05-31,2,501000,0.43
Mar 2023,YEM,32627231,Aden,current,2023-01-01,2023-05-31,3,254000,0.22
Mar 2023,YEM,32627231,Aden,current,2023-01-01,2023-05-31,4,52000,0.05
Mar 2023,YEM,32627231,Aden,current,2023-01-01,2023-05-31,5,0,0
Mar 2023,YEM,32627231,Aden,first projection,2023-06-01,2023-12-31,all,1152643,1.0
Mar 2023,YEM,32627231,Aden,first projection,2023-06-01,2023-12-31,3+,402000,0.35
Mar 2023,YEM,32627231,Aden,first projection,2023-06-01,2023-12-31,1,335500,0.29
Mar 2023,YEM,32627231,Aden,first projection,2023-06-01,2023-12-31,2,414000,0.36
Mar 2023,YEM,32627231,Aden,first projection,2023-06-01,2023-12-31,3,297500,0.26
Mar 2023,YEM,32627231,Aden,first projection,2023-06-01,2023-12-31,4,104500,0.09
Mar 2023,YEM,32627231,Aden,first projection,2023-06-01,2023-12-31,5,0,0
Mar 2023,YEM,32627231,Al Maharah,current,2023-01-01,2023-05-31,all,200871,1.0
Mar 2023,YEM,32627231,Al Maharah,current,2023-01-01,2023-05-31,3+,45500,0.23
Mar 2023,YEM,32627231,Al Maharah,current,2023-01-01,2023-05-31,1,83000,0.41
Mar 2023,YEM,32627231,Al Maharah,current,2023-01-01,2023-05-31,2,71500,0.36
Mar 2023,YEM,32627231,Al Maharah,current,2023-01-01,2023-05-31,3,40000,0.2
Mar 2023,YEM,32627231,Al Maharah,current,2023-01-01,2023-05-31,4,5500,0.03
Mar 2023,YEM,32627231,Al Maharah,current,2023-01-01,2023-05-31,5,0,0
Mar 2023,YEM,32627231,Al Maharah,first projection,2023-06-01,2023-12-31,all,200871,1.0
Mar 2023,YEM,32627231,Al Maharah,first projection,2023-06-01,2023-12-31,3+,53000,0.27
Mar 2023,YEM,32627231,Al Maharah,first projection,2023-06-01,2023-12-31,1,75500,0.38
Mar 2023,YEM,32627231,Al Maharah,first projection,2023-06-01,2023-12-31,2,71500,0.36
Mar 2023,YEM,32627231,Al Maharah,first projection,2023-06-01,2023-12-31,3,45500,0.23
Mar 2023,YEM,32627231,Al Maharah,first projection,2023-06-01,2023-12-31,4,7500,0.04
Mar 2023,YEM,32627231,Al Maharah,first projection,2023-06-01,2023-12-31,5,0,0
Mar 2023,YEM,32627231,Al Jawf,current,2023-01-01,2023-05-31,all,78128,1.0
Mar 2023,YEM,32627231,Al Jawf,current,2023-01-01,2023-05-31,3+,27500,0.35
Mar 2023,YEM,32627231,Al Jawf,current,2023-01-01,2023-05-31,1,23500,0.3
Mar 2023,YEM,32627231,Al Jawf,current,2023-01-01,2023-05-31,2,27500,0.35
Mar 2023,YEM,32627231,Al Jawf,current,2023-01-01,2023-05-31,3,19500,0.25
Mar 2023,YEM,32627231,Al Jawf,current,2023-01-01,2023-05-31,4,8000,0.1
Mar 2023,YEM,32627231,Al Jawf,current,2023-01-01,2023-05-31,5,0,0
Mar 2023,YEM,32627231,Al Jawf,first projection,2023-06-01,2023-12-31,all,78128,1.0
Mar 2023,YEM,32627231,Al Jawf,first projection,2023-06-01,2023-12-31,3+,35000,0.45
Mar 2023,YEM,32627231,Al Jawf,first projection,2023-06-01,2023-12-31,1,23500,0.3
Mar 2023,YEM,32627231,Al Jawf,first projection,2023-06-01,2023-12-31,2,19500,0.25
Mar 2023,YEM,32627231,Al Jawf,first projection,2023-06-01,2023-12-31,3,19500,0.25
Mar 2023,YEM,32627231,Al Jawf,first projection,2023-06-01,2023-12-31,4,15500,0.2
Mar 2023,YEM,32627231,Al Jawf,first projection,2023-06-01,2023-12-31,5,0,0
Mar 2023,YEM,32627231,Lahj,current,2023-01-01,2023-05-31,all,1150475,1.0
Mar 2023,YEM,32627231,Lahj,current,2023-01-01,2023-05-31,3+,403500,0.35
Mar 2023,YEM,32627231,Lahj,current,2023-01-01,2023-05-31,1,373500,0.32
Mar 2023,YEM,32627231,Lahj,current,2023-01-01,2023-05-31,2,374500,0.33
Mar 2023,YEM,32627231,Lahj,current,2023-01-01,2023-05-31,3,288000,0.25
Mar 2023,YEM,32627231,Lahj,current,2023-01-01,2023-05-31,4,115000,0.1
Mar 2023,YEM,32627231,Lahj,current,2023-01-01,2023-05-31,5,0,0
Mar 2023,YEM,32627231,Lahj,first projection,2023-06-01,2023-12-31,all,1150475,1.0
Mar 2023,YEM,32627231,Lahj,first projection,2023-06-01,2023-12-31,3+,480000,0.42
Mar 2023,YEM,32627231,Lahj,first projection,2023-06-01,2023-12-31,1,342500,0.3
Mar 2023,YEM,32627231,Lahj,first projection,2023-06-01,2023-12-31,2,329500,0.29
Mar 2023,YEM,32627231,Lahj,first projection,2023-06-01,2023-12-31,3,318000,0.28
Mar 2023,YEM,32627231,Lahj,first projection,2023-06-01,2023-12-31,4,162000,0.14
Mar 2023,YEM,32627231,Lahj,first projection,2023-06-01,2023-12-31,5,0,0
Mar 2023,YEM,32627231,Dhamar,current,2023-01-01,2023-05-31,all,32627231,1.0
Mar 2023,YEM,32627231,Dhamar,current,2023-01-01,2023-05-31,3+,0,0
Mar 2023,YEM,32627231,Dhamar,current,2023-01-01,2023-05-31,1,0,0
Mar 2023,YEM,32627231,Dhamar,current,2023-01-01,2023-05-31,2,0,0
Mar 2023,YEM,32627231,Dhamar,current,2023-01-01,2023-05-31,3,0,0
Mar 2023,YEM,32627231,Dhamar,current,2023-01-01,2023-05-31,4,0,0
Mar 2023,YEM,32627231,Dhamar,current,2023-01-01,2023-05-31,5,0,0
Mar 2023,YEM,32627231,Dhamar,first projection,2023-06-01,2023-12-31,3+,0,0
Mar 2023,YEM,32627231,Dhamar,first projection,2023-06-01,2023-12-31,1,0,0
Mar 2023,YEM,32627231,Dhamar,first projection,2023-06-01,2023-12-31,2,0,0
Mar 2023,YEM,32627231,Dhamar,first projection,2023-06-01,2023-12-31,3,0,0
Mar 2023,YEM,32627231,Dhamar,first projection,2023-06-01,2023-12-31,4,0,0
Mar 2023,YEM,32627231,Dhamar,first projection,2023-06-01,2023-12-31,5,0,0
Mar 2023,YEM,32627231,Sana'a,current,2023-01-01,2023-05-31,all,32627231,1.0
Mar 2023,YEM,32627231,Sana'a,current,2023-01-01,2023-05-31,3+,0,0
Mar 2023,YEM,32627231,Sana'a,current,2023-01-01,2023-05-31,1,0,0
Mar 2023,YEM,32627231,Sana'a,current,2023-01-01,2023-05-31,2,0,0
Mar 2023,YEM,32627231,Sana'a,current,2023-01-01,2023-05-31,3,0,0
Mar 2023,YEM,32627231,Sana'a,current,2023-01-01,2023-05-31,4,0,0
Mar 2023,YEM,32627231,Sana'a,current,2023-01-01,2023-05-31,5,0,0
Mar 2023,YEM,32627231,Sana'a,first projection,2023-06-01,2023-12-31,3+,0,0
Mar 2023,YEM,32627231,Sana'a,first projection,2023-06-01,2023-12-31,1,0,0
Mar 2023,YEM,32627231,Sana'a,first projection,2023-06-01,2023-12-31,2,0,0
Mar 2023,YEM,32627231,Sana'a,first projection,2023-06-01,2023-12-31,3,0,0
Mar 2023,YEM,32627231,Sana'a,first projection,2023-06-01,2023-12-31,4,0,0
Mar 2023,YEM,32627231,Sana'a,first projection,2023-06-01,2023-12-31,5,0,0
Mar 2023,YEM,32627231,Raymah,current,2023-01-01,2023-05-31,all,32627231,1.0
Mar 2023,YEM,32627231,Raymah,current,2023-01-01,2023-05-31,3+,0,0
Mar 2023,YEM,32627231,Raymah,current,2023-01-01,2023-05-31,1,0,0
Mar 2023,YEM,32627231,Raymah,current,2023-01-01,2023-05-31,2,0,0
Mar 2023,YEM,32627231,Raymah,current,2023-01-01,2023-05-31,3,0,0
Mar 2023,YEM,32627231,Raymah,current,2023-01-01,2023-05-31,4,0,0
Mar 2023,YEM,32627231,Raymah,current,2023-01-01,2023-05-31,5,0,0
Mar 2023,YEM,32627231,Raymah,first projection,2023-06-01,2023-12-31,3+,0,0
Mar 2023,YEM,32627231,Raymah,first projection,2023-06-01,2023-12-31,1,0,0
Mar 2023,YEM,32627231,Raymah,first projection,2023-06-01,2023-12-31,2,0,0
Mar 2023,YEM,32627231,Raymah,first projection,2023-06-01,2023-12-31,3,0,0
Mar 2023,YEM,32627231,Raymah,first projection,2023-06-01,2023-12-31,4,0,0
Mar 2023,YEM,32627231,Raymah,first projection,2023-06-01,2023-12-31,5,0,0
Mar 2023,YEM,32627231,Al Mahwit,current,2023-01-01,2023-05-31,all,32627231,1.0
Mar 2023,YEM,32627231,Al Mahwit,current,2023-01-01,2023-05-31,3+,0,0
Mar 2023,YEM,32627231,Al Mahwit,current,2023-01-01,2023-05-31,1,0,0
Mar 2023,YEM,32627231,Al Mahwit,current,2023-01-01,2023-05-31,2,0,0
Mar 2023,YEM,32627231,Al Mahwit,current,2023-01-01,2023-05-31,3,0,0
Mar 2023,YEM,32627231,Al Mahwit,current,2023-01-01,2023-05-31,4,0,0
Mar 2023,YEM,32627231,Al Mahwit,current,2023-01-01,2023-05-31,5,0,0
Mar 2023,YEM,32627231,Al Mahwit,first projection,2023-06-01,2023-12-31,3+,0,0
Mar 2023,YEM,32627231,Al Mahwit,first projection,2023-06-01,2023-12-31,1,0,0
Mar 2023,YEM,32627231,Al Mahwit,first projection,2023-06-01,2023-12-31,2,0,0
Mar 2023,YEM,32627231,Al Mahwit,first projection,2023-06-01,2023-12-31,3,0,0
Mar 2023,YEM,32627231,Al Mahwit,first projection,2023-06-01,2023-12-31,4,0,0
Mar 2023,YEM,32627231,Al Mahwit,first projection,2023-06-01,2023-12-31,5,0,0
Mar 2023,YEM,32627231,Ta`iz,current,2023-01-01,2023-05-31,all,1725377,1.0
Mar 2023,YEM,32627231,Ta`iz,current,2023-01-01,2023-05-31,3+,673000,0.39
Mar 2023,YEM,32627231,Ta`iz,current,2023-01-01,2023-05-31,1,487500,0.28
Mar 2023,YEM,32627231,Ta`iz,current,2023-01-01,2023-05-31,2,562500,0.33
Mar 2023,YEM,32627231,Ta`iz,current,2023-01-01,2023-05-31,3,514500,0.3
Mar 2023,YEM,32627231,Ta`iz,current,2023-01-01,2023-05-31,4,158500,0.09
Mar 2023,YEM,32627231,Ta`iz,current,2023-01-01,2023-05-31,5,0,0
Mar 2023,YEM,32627231,Ta`iz,first projection,2023-06-01,2023-12-31,all,1725377,1.0
Mar 2023,YEM,32627231,Ta`iz,first projection,2023-06-01,2023-12-31,3+,784000,0.46
Mar 2023,YEM,32627231,Ta`iz,first projection,2023-06-01,2023-12-31,1,471500,0.27
Mar 2023,YEM,32627231,Ta`iz,first projection,2023-06-01,2023-12-31,2,471000,0.27
Mar 2023,YEM,32627231,Ta`iz,first projection,2023-06-01,2023-12-31,3,544500,0.32
Mar 2023,YEM,32627231,Ta`iz,first projection,2023-06-01,2023-12-31,4,239500,0.14
Mar 2023,YEM,32627231,Ta`iz,first projection,2023-06-01,2023-12-31,5,0,0
Mar 2023,YEM,32627231,Sana'a City,current,2023-01-01,2023-05-31,all,32627231,1.0
Mar 2023,YEM,32627231,Sana'a City,current,2023-01-01,2023-05-31,3+,0,0
Mar 2023,YEM,32627231,Sana'a City,current,2023-01-01,2023-05-31,1,0,0
Mar 2023,YEM,32627231,Sana'a City,current,2023-01-01,2023-05-31,2,0,0
Mar 2023,YEM,32627231,Sana'a City,current,2023-01-01,2023-05-31,3,0,0
Mar 2023,YEM,32627231,Sana'a City,current,2023-01-01,2023-05-31,4,0,0
Mar 2023,YEM,32627231,Sana'a City,current,2023-01-01,2023-05-31,5,0,0
Mar 2023,YEM,32627231,Sana'a City,first projection,2023-06-01,2023-12-31,3+,0,0
Mar 2023,YEM,32627231,Sana'a City,first projection,2023-06-01,2023-12-31,1,0,0
Mar 2023,YEM,32627231,Sana'a City,first projection,2023-06-01,2023-12-31,2,0,0
Mar 2023,YEM,32627231,Sana'a City,first projection,2023-06-01,2023-12-31,3,0,0
Mar 2023,YEM,32627231,Sana'a City,first projection,2023-06-01,2023-12-31,4,0,0
Mar 2023,YEM,32627231,Sana'a City,first projection,2023-06-01,2023-12-31,5,0,0
Mar 2023,YEM,32627231,Shabwah,current,2023-01-01,2023-05-31,all,720755,1.0
Mar 2023,YEM,32627231,Shabwah,current,2023-01-01,2023-05-31,3+,214500,0.29
Mar 2023,YEM,32627231,Shabwah,current,2023-01-01,2023-05-31,1,225500,0.31
Mar 2023,YEM,32627231,Shabwah,current,2023-01-01,2023-05-31,2,279000,0.39
Mar 2023,YEM,32627231,Shabwah,current,2023-01-01,2023-05-31,3,175500,0.24
Mar 2023,YEM,32627231,Shabwah,current,2023-01-01,2023-05-31,4,39000,0.05
Mar 2023,YEM,32627231,Shabwah,current,2023-01-01,2023-05-31,5,0,0
Mar 2023,YEM,32627231,Shabwah,first projection,2023-06-01,2023-12-31,all,720755,1.0
Mar 2023,YEM,32627231,Shabwah,first projection,2023-06-01,2023-12-31,3+,267000,0.37
Mar 2023,YEM,32627231,Shabwah,first projection,2023-06-01,2023-12-31,1,223500,0.31
Mar 2023,YEM,32627231,Shabwah,first projection,2023-06-01,2023-12-31,2,228000,0.32
Mar 2023,YEM,32627231,Shabwah,first projection,2023-06-01,2023-12-31,3,204500,0.28
Mar 2023,YEM,32627231,Shabwah,first projection,2023-06-01,2023-12-31,4,62500,0.09
Mar 2023,YEM,32627231,Shabwah,first projection,2023-06-01,2023-12-31,5,0,0
Mar 2023,YEM,32627231,Socotra,current,2023-01-01,2023-05-31,all,74106,1.0
Mar 2023,YEM,32627231,Socotra,current,2023-01-01,2023-05-31,3+,15500,0.21
Mar 2023,YEM,32627231,Socotra,current,2023-01-01,2023-05-31,1,30000,0.4
Mar 2023,YEM,32627231,Socotra,current,2023-01-01,2023-05-31,2,29000,0.39
Mar 2023,YEM,32627231,Socotra,current,2023-01-01,2023-05-31,3,15500,0.21
Mar 2023,YEM,32627231,Socotra,current,2023-01-01,2023-05-31,4,0,0
Mar 2023,YEM,32627231,Socotra,current,2023-01-01,2023-05-31,5,0,0
Mar 2023,YEM,32627231,Socotra,first projection,2023-06-01,2023-12-31,all,74106,1.0
Mar 2023,YEM,32627231,Socotra,first projection,2023-06-01,2023-12-31,3+,19500,0.26
Mar 2023,YEM,32627231,Socotra,first projection,2023-06-01,2023-12-31,1,30000,0.4
Mar 2023,YEM,32627231,Socotra,first projection,2023-06-01,2023-12-31,2,25000,0.34
Mar 2023,YEM,32627231,Socotra,first projection,2023-06-01,2023-12-31,3,19500,0.26
Mar 2023,YEM,32627231,Socotra,first projection,2023-06-01,2023-12-31,4,0,0
Mar 2023,YEM,32627231,Socotra,first projection,2023-06-01,2023-12-31,5,0,0
Aug 2022,YEM,31900000,Amran,first projection,2022-10-01,2022-12-31,all,1253007,1.0
Aug 2022,YEM,31900000,Amran,first projection,2022-10-01,2022-12-31,3+,701500,0.56
Aug 2022,YEM,31900000,Amran,first projection,2022-10-01,2022-12-31,1,225000,0.18
Aug 2022,YEM,31900000,Amran,first projection,2022-10-01,2022-12-31,2,327000,0.26
Aug 2022,YEM,31900000,Amran,first projection,2022-10-01,2022-12-31,3,463500,0.37
Aug 2022,YEM,31900000,Amran,first projection,2022-10-01,2022-12-31,4,238000,0.19
Aug 2022,YEM,31900000,Amran,first projection,2022-10-01,2022-12-31,5,0,0
Aug 2022,YEM,31900000,Al Bayda,first projection,2022-10-01,2022-12-31,all,813749,1.0
Aug 2022,YEM,31900000,Al Bayda,first projection,2022-10-01,2022-12-31,3+,422000,0.52
Aug 2022,YEM,31900000,Al Bayda,first projection,2022-10-01,2022-12-31,1,167000,0.21
Aug 2022,YEM,31900000,Al Bayda,first projection,2022-10-01,2022-12-31,2,225000,0.28
Aug 2022,YEM,31900000,Al Bayda,first projection,2022-10-01,2022-12-31,3,285000,0.35
Aug 2022,YEM,31900000,Al Bayda,first projection,2022-10-01,2022-12-31,4,137000,0.17
Aug 2022,YEM,31900000,Al Bayda,first projection,2022-10-01,2022-12-31,5,0,0
Aug 2022,YEM,31900000,Raymah,first projection,2022-10-01,2022-12-31,all,592069,1.0
Aug 2022,YEM,31900000,Raymah,first projection,2022-10-01,2022-12-31,3+,319000,0.54
Aug 2022,YEM,31900000,Raymah,first projection,2022-10-01,2022-12-31,1,102500,0.17
Aug 2022,YEM,31900000,Raymah,first projection,2022-10-01,2022-12-31,2,170000,0.29
Aug 2022,YEM,31900000,Raymah,first projection,2022-10-01,2022-12-31,3,204000,0.35
Aug 2022,YEM,31900000,Raymah,first projection,2022-10-01,2022-12-31,4,115000,0.19
Aug 2022,YEM,31900000,Raymah,first projection,2022-10-01,2022-12-31,5,0,0
Aug 2022,YEM,31900000,Hadramaut,first projection,2022-10-01,2022-12-31,all,1643043,1.0
Aug 2022,YEM,31900000,Hadramaut,first projection,2022-10-01,2022-12-31,3+,548000,0.33
Aug 2022,YEM,31900000,Hadramaut,first projection,2022-10-01,2022-12-31,1,544000,0.33
Aug 2022,YEM,31900000,Hadramaut,first projection,2022-10-01,2022-12-31,2,548000,0.33
Aug 2022,YEM,31900000,Hadramaut,first projection,2022-10-01,2022-12-31,3,396000,0.24
Aug 2022,YEM,31900000,Hadramaut,first projection,2022-10-01,2022-12-31,4,152000,0.09
Aug 2022,YEM,31900000,Hadramaut,first projection,2022-10-01,2022-12-31,5,0,0
Aug 2022,YEM,31900000,Al Mahwit,first projection,2022-10-01,2022-12-31,all,804472,1.0
Aug 2022,YEM,31900000,Al Mahwit,first projection,2022-10-01,2022-12-31,3+,439000,0.55
Aug 2022,YEM,31900000,Al Mahwit,first projection,2022-10-01,2022-12-31,1,142500,0.18
Aug 2022,YEM,31900000,Al Mahwit,first projection,2022-10-01,2022-12-31,2,222500,0.28
Aug 2022,YEM,31900000,Al Mahwit,first projection,2022-10-01,2022-12-31,3,286000,0.36
Aug 2022,YEM,31900000,Al Mahwit,first projection,2022-10-01,2022-12-31,4,153000,0.19
Aug 2022,YEM,31900000,Al Mahwit,first projection,2022-10-01,2022-12-31,5,0,0
Aug 2022,YEM,31900000,Sana'a,first projection,2022-10-01,2022-12-31,all,1138450,1.0
Aug 2022,YEM,31900000,Sana'a,first projection,2022-10-01,2022-12-31,3+,608500,0.53
Aug 2022,YEM,31900000,Sana'a,first projection,2022-10-01,2022-12-31,1,205500,0.18
Aug 2022,YEM,31900000,Sana'a,first projection,2022-10-01,2022-12-31,2,325000,0.29
Aug 2022,YEM,31900000,Sana'a,first projection,2022-10-01,2022-12-31,3,387500,0.34
Aug 2022,YEM,31900000,Sana'a,first projection,2022-10-01,2022-12-31,4,221000,0.19
Aug 2022,YEM,31900000,Sana'a,first projection,2022-10-01,2022-12-31,5,0,0
Aug 2022,YEM,31900000,Taizz,first projection,2022-10-01,2022-12-31,all,3203121,1.0
Aug 2022,YEM,31900000,Taizz,first projection,2022-10-01,2022-12-31,3+,1523000,0.48
Aug 2022,YEM,31900000,Taizz,first projection,2022-10-01,2022-12-31,1,564500,0.18
